piid,mod,signed,effective,completion,obligated,total_obligated,total_base_all,contracting_office,funding_office,pop_state,pop_city,pop_county,pop_zip,pop_cd,vendor,vendor_state,psc,psc_desc,naics,naics_desc,description,initiative,action_type
36C24825P0958,P00001,2025-04-16,2025-03-12,2025-04-17,-58000.00,0.00,0.00,248-NETWORK CONTRACT OFFICE 8 (36C248),573-NF/SG VETS HOSP(00573)(36C573),TX,HOUSTON,HARRIS,770251153,07,A6 SCIENTIFIC CORP.,,6515,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",339112,SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,TERMINATION FOR CONVENIENCE,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,PURCHASE ORDER
36C77623P0119,P00003,2025-04-16,2023-09-25,2025-02-20,-1024888.05,823911.95,4705153.73,PCAC (36C776),PCAC (36C776),VA,ASHBURN,LOUDOUN,201475095,10,VETERAN ENTERPRISE TECHNOLOGY SERVICES LLC,,R410,SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,HUMAN RESOURCE DEVELOPMENT PROGRAM EVALUATION AND MANAGEMENT.  TERMINATION FOR CONVENIENCE AGREEMENT.  EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING.,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,PURCHASE ORDER
36C10F24F0011,P00002,2025-04-17,2024-06-10,2025-03-04,-9133.10,69098.52,219548.69,OFFICE OF CONSTRUCTION &  FACILITIES MGMT (36C10F),OFFICE OF CONSTRUCTION &  FACILITIES MGMT (36C10F),IA,KEOKUK,LEE,526324451,01,"ANDERSON ENGINEERING OF MINNESOTA, LLC",,R499,SUPPORT- PROFESSIONAL: OTHER,541330,ENGINEERING SERVICES,"EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING
TERMINATION FOR CONVENIENCE AGREEMENT",EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DELIVERY ORDER
36C24624P1525,P00001,2025-04-17,2024-07-22,2025-04-14,0.00,169900.00,289800.00,246-NETWORK CONTRACTING OFFICE 6 (36C246),565-FAYETTEVILLE (00565)(36565),NC,FAYETTEVILLE,CUMBERLAND,283015494,07,CITIZEN CONTRACTING GROUP LLC,,L042,TECHNICAL REP- FIRE FIGHTING/RESCUE/SAFETY EQUIPMENT; ENVIRON PROTECT EQUIPMENT/MATLS,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",NOTICE OF TERMINATION,,PURCHASE ORDER
36C26225P1034,P00001,2025-04-17,2025-04-03,2025-04-24,-14622.00,0.00,0.00,262-NETWORK CONTRACT OFFICE 22 (36C262),600-VA LONG BEACH HLTCAR SYS(00600),NY,SUFFERN,ROCKLAND,109015501,17,"BLUE CHIP MEDICAL PRODUCTS, INC.",,6515,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",339112,SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,PRESSURE MAPPING SEAT SYSTEM,,PURCHASE ORDER
36E79720D0024,P00017,2025-04-17,2020-07-01,,0.00,0.00,915921.00,NAC PHARMACEUTICALS (36E797),NAC PHARMACEUTICALS (36E797),,,,,,EXELAN PHARMACEUTICALS INC.,,6505,DRUGS AND BIOLOGICALS,325412,PHARMACEUTICAL PREPARATION MANUFACTURING,"TERMIMNATION OF CONVENIENCE IN ITS ENTITY EFFECTIVE MAY 27, 2025 FOR NADOLOL TABLETS WITH EXELAN PHARMACEUTICALS, INC.",,IDC
36C10X24F0055,P00003,2025-04-18,2024-05-13,2025-02-25,-462146.15,1424616.49,1424616.49,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),VA,ASHBURN,LOUDOUN,201473394,10,WOODSIDE QUALITY LLC,,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,TERMINATION FOR CONVENIENCE AGREEMENT,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DELIVERY ORDER
36C77623P0061,P00003,2025-04-18,2023-06-01,2025-04-18,0.00,161925.00,161925.00,PCAC (36C776),PCAC (36C776),VA,FREDERICKSBURG,SPOTSYLVANIA,224076874,07,ALL IN SOLUTIONS LLC,,U005,EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING,CASE MANAGEMENT ONLINE TRAINING.  NOTICE OF TERMINATION FOR CONVENIENCE.  EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING.,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,PURCHASE ORDER
36C78625C0016,P00001,2025-04-18,2025-03-28,2025-04-30,-74845.00,232544.20,232544.20,NATIONAL CEMETERY ADMIN (36C786),NATIONAL CEMETERY ADMIN (36C786),CA,GUSTINE,MERCED,953229770,13,"GRAMERCY MANAGEMENT PARTNER, INC.",,Y1PD,CONSTRUCTION OF WASTE TREATMENT AND STORAGE FACILITIES,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,"TERMINATION FOR CONVENIENCE

FILTER AND PUMP",EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DEFINITIVE CONTRACT
36C24521F0046,P00015,2025-04-21,2020-11-01,2025-03-04,11670.81,403918.48,403918.48,245-NETWORK CONTRACT OFFICE 5 (36C245),VHACO PATIENT CARE SERVICES,FL,PENSACOLA,ESCAMBIA,325025634,01,"DYNAMIC INTEGRATED SERVICES, LLC",,T001,PHOTO/MAP/PRINT/PUBLICATION- ARTS/GRAPHICS,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,TERMINATION FOR CONVENIENCE SETTLEMENT.,,DELIVERY ORDER
36C25225P0092,P00001,2025-04-21,2025-02-01,2025-02-25,-6875.00,0.00,0.00,252-NETWORK CONTRACT OFFICE 12 (36C252),695-MILWAUKEE(00695)(36C695),WI,MILWAUKEE,MILWAUKEE,532950001,04,"I3 GROUP, INC.",,J071,MAINT/REPAIR/REBUILD OF EQUIPMENT- FURNITURE,811420,REUPHOLSTERY AND FURNITURE REPAIR,"TERMINATE FOR CONVENIENCE FURNITURE DISMANTLE AND MOVE AT THE HONEY CREEK CORPORATE FACILITY IN MILWAUKEE, WI.",,PURCHASE ORDER
36C25925F0223,P00001,2025-04-21,2025-02-15,2025-03-20,-42375.84,0.00,0.00,NETWORK CONTRACT OFFICE 19 (36C259),666-SHERIDAN(00666),WY,SHERIDAN,SHERIDAN,828013909,00,"QUADIENT, INC.",,W074,"LEASE OR RENTAL OF EQUIPMENT- OFFICE MACHINES, TEXT PROCESSING SYSTEMS, AND VISIBLE RECORD EQUIPMENT",561499,ALL OTHER BUSINESS SUPPORT SERVICES,SHERIDAN MAIL EQUIPMENT,,DELIVERY ORDER
36C25925P0253,P00001,2025-04-21,2025-01-24,2025-03-07,-12000.00,0.00,0.00,NETWORK CONTRACT OFFICE 19 (36C259),666-SHERIDAN(00666),IN,INDIANAPOLIS,MARION,462011141,07,STERILECO LLC,,F108,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,562112,HAZARDOUS WASTE COLLECTION,"PETROLEUM, OILS, AND LUBRICANTS CLEANUP AND DISPOSAL.",,PURCHASE ORDER
36C26023P0690,P00003,2025-04-21,2023-07-15,2025-03-27,-7451.69,40183.67,40183.67,260-NETWORK CONTRACT OFFICE 20 (36C260),648-PORTLAND (00648),OR,PORTLAND,MULTNOMAH,972392964,01,CARAHSOFT TECHNOLOGY CORP,,DA10,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE,541810,ADVERTISING AGENCIES,TERMINATION FOR CONVENIENCE 'EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING ONLINE NURSING RECRUITMENT SERVICE,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,PURCHASE ORDER
36C26024N0292,P00001,2025-04-21,2024-06-01,2025-04-03,-65985.48,152913.72,152913.72,260-NETWORK CONTRACT OFFICE 20 (36C260),648-PORTLAND (00648),OR,PORTLAND,MULTNOMAH,972391480,01,"INFORMATION SCIENCES CONSULTING, INCORPORATED",,R706,SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING TERMINATION FOR CONVENIENCE,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DELIVERY ORDER
36C77624N0978,P00002,2025-04-21,2024-09-27,2025-03-05,-449887.77,180305.78,180305.78,PCAC (36C776),PCAC (36C776),OH,INDEPENDENCE,CUYAHOGA,441318051,07,"COGNITIVE MEDICAL SYSTEMS, INC.",,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,CDS COMMUNITY ENGAGEMENT TASK ORDER 19.  TERMINATION FOR CONVENIENCE AGREEMENT.  EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING.,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DELIVERY ORDER
36C10X21F0083,P00004,2025-04-22,2021-08-16,2025-02-25,-26174.56,121702.69,121702.69,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),KS,TOPEKA,SHAWNEE,666042786,02,"INFORMATION FIRST, INC.",,R499,SUPPORT- PROFESSIONAL: OTHER,541519,OTHER COMPUTER RELATED SERVICES,CIRTS MAINTENANCE SUPPORT AND UPGRADE,,DELIVERY ORDER
36C24425D0046,P00001,2025-04-22,2025-04-01,,0.00,0.00,0.00,244-NETWORK CONTRACT OFFICE 4 (36C244),646-PITTSBURGH (00646)(36C646),,,,,,"MASSIVE KINETICS CONTRACTING, LLC",,J012,MAINT/REPAIR/REBUILD OF EQUIPMENT- FIRE CONTROL EQUIPMENT,238990,ALL OTHER SPECIALTY TRADE CONTRACTORS,TERMINATE FOR CONVENIENCE,,IDC
36C25624C0091,P00001,2025-04-22,2024-09-30,2025-03-05,-3651168.51,1597690.36,1597690.36,256-NETWORK CONTRACT OFFICE 16 (36C256),520-BILOXI (00520),MS,JACKSON,HINDS,392165032,03,"KSM A&E FEDERAL GROUP, LLC",,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,541690,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,NOTICE OF TERMINATION FOR CONVENIENCE.,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DEFINITIVE CONTRACT
36C25725D0023,P00002,2025-04-22,2025-02-01,,0.00,0.00,12000.00,257-NETWORK CONTRACT OFFICE 17 (36C257),674-TEMPLE (00674),,,,,,"GREEN LANTERN, LLC",,6830,GASES: COMPRESSED AND LIQUEFIED,325120,INDUSTRIAL GAS MANUFACTURING,TERMINATION FOR CONVENIENCE,,IDC
36C26225D0054,P00001,2025-04-22,2025-03-01,,0.00,0.00,4473282.51,262-NETWORK CONTRACT OFFICE 22 (36C262),691-VA GREATER LA HLTHCR SYS(00691),,,,,,"OFFICE DESIGN GROUP, INC.",,V999,TRANSPORTATION/TRAVEL/RELOCATION- OTHER: OTHER,484210,USED HOUSEHOLD AND OFFICE GOODS MOVING,FURNITURE AND EQUIPMENT RELOCATION AND INSTALLATION,,IDC
36C77623P0082,P00006,2025-04-22,2023-07-15,2025-03-06,-84127.35,206300.05,391974.61,PCAC (36C776),PCAC (36C776),CA,DALY CITY,SAN MATEO,940160018,15,CONCOURSE FEDERAL GROUP LLC,,Q702,TECHNICAL MEDICAL SUPPORT,541614,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES","*TERMINATION FOR CONVENIENCE AGREEMENT* SAN FRANCISCO BUILDING 8 IOTA. 
COST SAVINGS/AVOIDANCE: $84,127.35.",EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,PURCHASE ORDER
36C77624N0294,P00002,2025-04-22,2024-03-13,2025-02-25,0.00,248943.38,248943.38,PCAC (36C776),PCAC (36C776),MD,ANNAPOLIS,ANNE ARUNDEL,214033246,03,TAURIAN CONSULTING LLC,,R799,SUPPORT- MANAGEMENT: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,TERMINATION FOR CONVENIENCE AGREEMENT - SAVINGS - $0,,DELIVERY ORDER
36C24W25D0001,P00001,2025-04-23,2024-11-04,,0.00,0.00,350281.87,RPO WEST (36C24W),623-MUSKOGEE (00623),,,,,,ENGLOBAL GOVERNMENT SERVICES INC,,7C21,IT AND TELECOM - OTHER DATA CENTER FACILITIES PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),332999,ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING,IT SERVER RACKS - TERMINATE FOR CONVENIENCE,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,IDC
36C24W25N0021,P00001,2025-04-23,2025-03-14,2025-04-17,-350281.87,0.00,0.00,RPO WEST (36C24W),623-MUSKOGEE (00623),OK,TULSA,TULSA,741374296,01,ENGLOBAL GOVERNMENT SERVICES INC,,7C21,IT AND TELECOM - OTHER DATA CENTER FACILITIES PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),332999,ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING,IT SERVER RACKS TASK ORDER. TERMINATION FOR CONVENIENCE ISSUED.,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DELIVERY ORDER
36C25024P0162,P00005,2025-04-23,2023-10-30,2025-04-23,-16500.00,2500.00,47500.00,250-NETWORK CONTRACT OFFICE 10 (36C250),541-BRECKSVILLE (00541),OH,CLEVELAND,CUYAHOGA,441068001,11,"HAAS GROUP INTERNATIONAL, LLC",,DA10,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE,541690,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,CHEMICAL MANAGEMENT PROGRAM TERMINATION FOR GOVERNMENT CONVENIENCE,,PURCHASE ORDER
36C25024P1044,P00002,2025-04-23,2024-05-01,2025-04-30,-15097.00,14728.00,14728.00,250-NETWORK CONTRACT OFFICE 10 (36C250),538-CHILLICOTHE (00538),OH,CHILLICOTHE,ROSS,456019699,02,"SWANK MOTION PICTURES, INC.",,DG10,IT AND TELECOM - NETWORK AS A SERVICE,512120,MOTION PICTURE AND VIDEO DISTRIBUTION,CABLE MOVIE CHANNEL ACCESS AND SERVICES.,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,PURCHASE ORDER
36C10X24N0137,P00003,2025-04-24,2024-05-16,2025-02-25,-112210.65,386491.31,386491.31,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),VA,ALEXANDRIA,ALEXANDRIA CITY,223143359,08,"APTIVE HTG, LLC",,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,TERMINATION FOR CONVENIENCE AGREEMENT.,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DELIVERY ORDER
36C24123C0031,P00002,2025-04-24,2023-02-22,2024-12-12,-71935.19,133087.63,133087.63,241-NETWORK CONTRACT OFFICE 01 (36C241),631-LEEDS (00631)(36C631),MA,LEEDS,HAMPSHIRE,010539778,02,"ACELA ARCHITECTS + ENGINEERS, PC",,C1DA,ARCHITECT AND ENGINEERING- CONSTRUCTION: HOSPITALS AND INFIRMARIES,541310,ARCHITECTURAL SERVICES,631-22-003  - RENOVATE BUILDING 8 2ND FLOOR FOR RRTP | TERMINATION FOR CONVENIENCE,,DEFINITIVE CONTRACT
36C24524N0866,P00001,2025-04-24,2024-09-01,2025-03-04,0.00,108211.39,108211.82,245-NETWORK CONTRACT OFFICE 5 (36C245),613-MARTINSBURG (00613)(36C613),WV,MARTINSBURG,BERKELEY,254055810,02,"INFORMATION SCIENCES CONSULTING, INCORPORATED",,R706,SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,TEMP SUPPLY TECHNICIAN,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DELIVERY ORDER
36C24724F0139,P00002,2025-04-24,2024-01-15,2025-05-15,0.00,2521376.00,2521376.00,247-NETWORK CONTRACT OFFICE 7 (36C247),534-CHARLESTON (00534)(36C534),NM,ARTESIA,EDDY,882102124,03,"RAPID TEMPS, INC.",,Q999,MEDICAL- OTHER,561320,TEMPORARY HELP SERVICES,PRIMARY-CARE-PHY,,DELIVERY ORDER
36C24825P0908,P00001,2025-04-24,2025-04-01,2025-07-30,-89263.18,0.00,0.00,248-NETWORK CONTRACT OFFICE 8 (36C248),675-ORLANDO (00675)(36C675),FL,CLERMONT,LAKE,347118929,11,REYES REAL ESTATE LLC,,9905,"SIGNS, ADVERTISING DISPLAYS, AND IDENTIFICATION PLATES",339950,SIGN MANUFACTURING,TERMINATION FOR CONVENIENCE: PROVIDE AND INSTALL 12 METAL FREE-STANDING SIGNS AND ONE ELECTRICAL SIGN FOR LAKE BALDWIN URGENT CARE FACILITY.,,PURCHASE ORDER
36C10X23C0061,P00005,2025-04-25,2023-09-27,2025-02-15,-299325.04,782333.96,782333.96,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),MD,BRYANS ROAD,CHARLES,206166118,05,CUP OF TEA LLC,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,MENTAL HEALTH AND WELLNESS SESSIONS. BILATERAL SETTLEMENT AGREEMENT FOR TERMINATION FOR GOVERNMENT'S CONVENIENCE IAW FAR 52.212-4(L).,,DEFINITIVE CONTRACT
36C25025C0081,P00001,2025-04-25,2025-02-25,2025-04-25,-15000.00,0.00,0.00,250-NETWORK CONTRACT OFFICE 10 (36C250),583-INDIANAPOLIS(00583),IN,INDIANAPOLIS,MARION,462022375,07,DISE LLC,,J065,"MAINT/REPAIR/REBUILD OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",811310,COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT (EXCEPT AUTOMOTIVE AND ELECTRONIC) REPAIR AND MAINTENANCE,TERMINATION FOR CONVENIENCE,,DEFINITIVE CONTRACT
36C25725C0019,P00001,2025-04-25,2025-01-29,2025-04-25,-199295.00,0.00,0.00,257-NETWORK CONTRACT OFFICE 17 (36C257),671-SAN ANTONIO (00671),TX,SAN ANTONIO,BEXAR,782294404,20,"DAV ENERGY SOLUTIONS, INC.",,C1DA,ARCHITECT AND ENGINEERING- CONSTRUCTION: HOSPITALS AND INFIRMARIES,541330,ENGINEERING SERVICES,A/E REPLACE MAIN ELECTRICAL DISTRIBUTION CDP AND EDP. TERMINATE FOR CONVENIENCE.,,DEFINITIVE CONTRACT
36C77624N0056,P00002,2025-04-25,2024-01-05,2025-02-25,0.00,1334529.03,1334529.03,PCAC (36C776),PCAC (36C776),VA,ARLINGTON,ARLINGTON,222013868,08,"CRADDOCK GROUP, LLC, THE",,R799,SUPPORT- MANAGEMENT: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,STRATEGIC CAPITAL INVESTMENT PLANNING PROCESS SUPPORT SERVICES,,DELIVERY ORDER
36C26225C0166,P00001,2025-04-28,2025-04-01,2029-09-30,-1962937.80,0.00,0.00,262-NETWORK CONTRACT OFFICE 22 (36C262),664-SAN DIEGO HEALTHCARE SYS(00664),CA,SAN DIEGO,SAN DIEGO,921610002,50,"KTS SOLUTIONS, INC.",,V129,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER,485999,ALL OTHER TRANSIT AND GROUND PASSENGER TRANSPORTATION,PASSENGER SHUTTLE SERVICE-TERMINATION FOR CONVENIENCE.,,DEFINITIVE CONTRACT
36C77624N0999,P00002,2025-04-28,2024-09-30,2025-02-25,-712158.35,508684.50,508684.50,PCAC (36C776),PCAC (36C776),WY,CHEYENNE,LARAMIE,820013527,00,INNOVET HEALTH LLC,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,CLINICAL DECISION SUPPORT IDIQ TASK ORDER 17.  TERMINATION FOR CONVENIENCE AGREEMENT.  EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING.,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DELIVERY ORDER
36C24521C0068,P00008,2025-04-29,2021-07-11,2025-03-04,-87090.00,740230.00,1125750.00,245-NETWORK CONTRACT OFFICE 5 (36C245),540-CLARKSBURG (00540)(36C540),VA,VIRGINIA BEACH,VIRGINIA BEACH CITY,234530001,02,"MJL ENTERPRISES, LLC",,R707,SUPPORT- MANAGEMENT: CONTRACT/PROCUREMENT/ACQUISITION SUPPORT,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,TERMINATION FOR CONVENIENCE,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DEFINITIVE CONTRACT
36C25019N1065,P00005,2025-04-29,2019-09-23,2025-04-29,-6315.15,47239.85,47239.85,250-NETWORK CONTRACT OFFICE 10 (36C250),250-NETWORK CONTRACT OFFICE 10 (36C250),OH,CINCINNATI,HAMILTON,452191976,01,JOHN POE ARCHITECTS INC,,C1DA,ARCHITECT AND ENGINEERING- CONSTRUCTION: HOSPITALS AND INFIRMARIES,541310,ARCHITECTURAL SERVICES,AE PREP FLUOROSCOPY C-ARM - TERMINATE FOR CONVENIENCE.,,DELIVERY ORDER
36C77624P0043,P00004,2025-04-29,2024-04-18,2025-02-25,-258546.59,283949.34,283949.34,PCAC (36C776),PCAC (36C776),TX,PLANO,COLLIN,750253103,03,ARTEMIS ARC LLC,,R699,SUPPORT- ADMINISTRATIVE: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,TERMINATION FOR CONVENIENCE AGREEMENT.  EVIDENCE BASED PRACTICE IMPLEMENTATION SUPPORT SERVICES.  EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING.,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,PURCHASE ORDER
36A79719N0451,P00001,2025-04-30,2019-06-06,2025-05-30,-1537949.00,0.00,0.00,NAC HIGH TECH ORDERS (36A797),NAC HIGH TECH ORDERS (36A797),WA,BOTHELL,SNOHOMISH,980218431,01,PHILIPS NORTH AMERICA LLC,,6525,"IMAGING EQUIPMENT AND SUPPLIES: MEDICAL, DENTAL, VETERINARY",334517,IRRADIATION APPARATUS MANUFACTURING,"PO: 667B89004
MODALITY: XR CATH LAB
TERMINATION FOR CONVENIENCE
CATH LAB FOR OVERTON BROOKS VA MEDICAL CENTER",,DELIVERY ORDER
36C24623C0063,P00002,2025-04-30,2023-09-29,2025-04-16,-1007621.60,250059.00,250059.00,246-NETWORK CONTRACTING OFFICE 6 (36C246),565-FAYETTEVILLE (00565)(36565),NC,FAYETTEVILLE,CUMBERLAND,283015494,07,"RDC/JOHN POE ARCHITECTS, L.L.L.P.",,C1DA,ARCHITECT AND ENGINEERING- CONSTRUCTION: HOSPITALS AND INFIRMARIES,541310,ARCHITECTURAL SERVICES,"RENOVATE 3C FOR LAB
COMPLETE TERMINATION FOR CONVENIENCE",EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DEFINITIVE CONTRACT
36C24725P0609,P00001,2025-04-30,2025-04-15,2025-04-16,0.00,30455.00,30455.00,247-NETWORK CONTRACT OFFICE 7 (36C247),521-BIRMINGHAM(00521)(36C521),AL,BIRMINGHAM,JEFFERSON,352331121,07,VETERAN TECHNOLOGY PARTNERS LLC,,R799,SUPPORT- MANAGEMENT: OTHER,517121,TELECOMMUNICATIONS RESELLERS,BISCOM SOFTWARE FOR LEXMARK EQUIPMENT RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,,PURCHASE ORDER
36C24825N0636,P00001,2025-04-30,2025-05-01,2025-07-07,-1146337.68,0.00,0.00,248-NETWORK CONTRACT OFFICE 8 (36C248),248-NETWORK CONTRACT OFFICE 8 (36C248),FL,SARASOTA,SARASOTA,342383130,17,"JPL & ASSOCIATES, LLC",,7110,OFFICE FURNITURE,337215,"SHOWCASE, PARTITION, SHELVING, AND LOCKER MANUFACTURING",TASK CHAIRS DESKS AND MOBILE PEDESTAL FILES,,DELIVERY ORDER
36C24E25P0013,P00001,2025-04-30,2024-11-21,2025-03-06,-21673.00,4600.00,139466.00,RPO EAST (36C24E),"VHACO DISCOVERY, EDUC, AND AFFILIATED NETWORKS",MA,BOSTON,SUFFOLK,021140001,08,SIPE JEAN,,R410,SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT,541690,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,TERMINATE FOR CONVENIENCE,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,PURCHASE ORDER
36C26322D0081,P00003,2025-04-30,2022-05-02,,0.00,0.00,2500000.00,NETWORK CONTRACT OFFICE 23 (36C263),438-SIOUX FALLS VA MED CTR (00438),,,,,,"ST. LUKE'S LUTHERAN CARE CENTER, INC.",,Q402,"NURSING HOME, LONG-TERM & ADULT DAY CARE SERVICES",623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),"SAINT LUKES LUTHERAN CARE SERVICES, INC. - NURSING HOME SERVICES 
THIS SUPPLEMENTAL AGREEMENT TERMINATES THE CONTRACT IN ITS ENTIRETY EFFECTIVE 4-30-2025.",,IDC
36C78624D50080,P00001,2025-04-30,2024-02-01,,0.00,0.00,0.00,NATIONAL CEMETERY ADMIN (36C786),NATIONAL CEMETERY ADMIN (36C786),,,,,,PRIORITY GOVERNMENT SOLUTIONS LLC,,S208,HOUSEKEEPING- LANDSCAPING/GROUNDSKEEPING,561730,LANDSCAPING SERVICES,TERMINATE FOR CONVENIENCE,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,IDC
36C24E24D0006,P00001,2025-05-01,2024-05-27,,0.00,0.00,2700000.00,RPO EAST (36C24E),607-MADISON(00607)(36C607),,,,,,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,,Q301,REFERENCE LABORATORY TESTING,541380,TESTING LABORATORIES AND SERVICES,NOTICE OF TERMINATION FOR CONVENIENCE,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,IDC
